Term	Genes
hsa04310:Wnt signaling pathway	5601, 5579, 5528, 5578, 2033, 1454, 4089, 324, 7472, 6422, 7157
hsa05211:Renal cell carcinoma	57144, 5290, 2033, 3082, 5294, 4233, 5295
hsa04340:Hedgehog signaling pathway	6469, 2735, 1454, 7472, 2737, 5727
hsa04620:Toll-like receptor signaling pathway	5601, 5290, 5603, 6772, 5294, 5295, 29110, 3452
hsa05222:Small cell lung cancer	5290, 5728, 2335, 5925, 5294, 5295, 7157
hsa04210:Apoptosis	8797, 5290, 11213, 472, 5294, 5295, 7157
hsa04350:TGF-beta signaling pathway	2033, 3399, 1634, 83729, 4089, 7048, 7057
hsa04630:Jak-STAT signaling pathway	5290, 5292, 1271, 1441, 2033, 6772, 867, 5294, 5295, 3452
hsa05120:Epithelial cell signaling in Helicobacter pylori infection	5601, 5803, 1956, 5603, 529, 4233
hsa04720:Long-term potentiation	6197, 5579, 5578, 3710, 2033, 2911
hsa04730:Long-term depression	2770, 5579, 5578, 3710, 2778, 2911
hsa04150:mTOR signaling pathway	5290, 6197, 5170, 5294, 5295
hsa04666:Fc gamma R-mediated phagocytosis	5290, 5579, 5578, 5294, 5295, 5580, 3055
